Key,Author
8SV6SNN9,"Abu-Mostafa, Y. S."
XIWGXG9V,"Abu-Mostafa, Yaser S."
DAUKADWC,"Ackerman, Margareta"
DAUKADWC,"Ben-David, Shai"
M6N6S3JB,"Ackley, D. H."
M6N6S3JB,"Hinton, G. E."
M6N6S3JB,"Sejnowski, T. J."
QX9H6W3P,"Ackley, D. H."
QX9H6W3P,"Littman, M. S."
MXANGV79,"Rohwer, R."
P8CFX2BF,"Adelson, E. H."
P8CFX2BF,"Bergen, J. R."
B47P9MX7,"Agarwal, Sharad"
B47P9MX7,"Lorch, Jacob R."
RJJ25TRW,"Agrawala, Ashok Kumar"
B69M8BKA,"Ahalt, S. C."
B69M8BKA,"Krishnamurthy, A. K."
B69M8BKA,"Chen, P."
B69M8BKA,"Melton, D. E."
M5HNMHZM,"Ahmad, S."
M5HNMHZM,"Tresp, V."
9IPKM7G2,"Ahmed, Amr"
9IPKM7G2,"Yu, Kai"
9IPKM7G2,"Xu, Wei"
9IPKM7G2,"Gong, Yihong"
9IPKM7G2,"Xing, Eric P."
3CT2HB7V,"Zeiler, Matthew D."
3CT2HB7V,"Fergus, Rob"
8TMAC8IU,"Aitchison, John"
8TMAC8IU,"Aitken, Colin"
C858AIID,"Aizerman, Mark A."
C858AIID,"Braverman, Emmanuel M."
C858AIID,"Rozonoer, Lev I."
2S5HR7TS,"Ajtai, Miklos"
7CHPG4IJ,"Akaike, H."
9UJ6WRVN,"Al-Mashouq, K. A."
9UJ6WRVN,"Reed, I. S."
3TJ43X5R,"Aleksander, I."
3TJ43X5R,"Morton, H."
UKFZV2KU,"Aleksander, I."
UKFZV2KU,"Morton, H."
NBD2SETT,"Allender, Eric"
B8BFMQTR,"Alleva, F."
B8BFMQTR,"Huang, X."
B8BFMQTR,"Hwang, M. Y."
DTHR6IQ7,"Allgower, E. L."
DTHR6IQ7,"Georg, K."
KAZ2HJV9,"Allgower, E. L."
KAZ2HJV9,"Georg, K."
RAX8DFBI,"Almeida, L. B."
9HWVIX2G,"Almeida, L. B."
4IM8P4EQ,"Almuallim, H."
4IM8P4EQ,"Dietterich, T. G."
ABMXA38S,"Almuallim, Hussein"
ABMXA38S,"Dietterich, Thomas G."
5746F8HN,"Alspector, J."
5746F8HN,"Allen, R. B."
2IU7QK2I,"Alspector, J."
2IU7QK2I,"Allen, R. B."
2IU7QK2I,"Hu, V."
2IU7QK2I,"Satyanarayana, S."
JP5Z847R,"Amari, S."
JP5Z847R,"Wu, S."
43756WUM,"Amari, Shun-ichi"
43756WUM,"Park, Hyeyoung"
43756WUM,"Fukumizu, Kenji"
A8NIP369,"Amari, S. A."
XZZX6QK4,"Amari, S. A."
ZZHIHNXD,"Amari, Shun-ichi"
FTFBR8V8,"Amari, Shun-ichi"
FTFBR8V8,"Kurata, K."
FTFBR8V8,"Nagaoka, H."
G4SKDV4V,"Amari, Shun-ichi"
D9R9IARB,"Amari, Shun-ichi"
N4IRXKUX,"Amari, S."
N4IRXKUX,"Wu, S."
5TM75HR6,"Amari, Shun-ichi"
5TM75HR6,"Murata, Noboru"
5TM75HR6,"Müller, Klaus-Robert"
5TM75HR6,"Finke, Michael"
5TM75HR6,"Yang, Howard Hua"
IIRWJZQX,"Amaya, Fredy A."
IIRWJZQX,"Benedì, Jose-Miguel"
V2CRWW6U,"Boufaden, N."
V2CRWW6U,"G, Lapalme"
V2CRWW6U,"Y, Bengio"
JEI24ADM,"Amit, D."
JEI24ADM,"Gutfreund, H."
JEI24ADM,"Sompolinsky, H."
HKG9M4TD,"Amit, D."
HKG9M4TD,"Gutfreund, H."
HKG9M4TD,"Sompolinsky, H."
UPZJ8347,"Amit, D."
UPZJ8347,"Gutfreund, H."
UPZJ8347,"Sompolinsky, H."
PF7MZVZ7,"Amit, D."
PF7MZVZ7,"Gutfreund, H."
PF7MZVZ7,"Sompolinsky, H."
P7Q4CCS5,"Amit, D."
5VQ9XJ33,"Amit, D."
JZR88XSB,"Ammar, Hany H."
JZR88XSB,"Miao, Zhouhui"
VS8STG2K,"Anderson, T."
TVGIAPCV,"Anderson, J. A."
F9MQI5KZ,"Anderson, J. A."
F3DW6D3P,"Hinton, G. E."
F3DW6D3P,"Anderson, J. A."
G4ERGAHN,"Anderson, J. A."
G4ERGAHN,"Mozer, M. C."
FEMTTP3U,"Anderson, D. Z."
PHVU42EA,"Anderson, C. H."
PHVU42EA,"Essen, D. C. Van"
4TFF5DT2,
AXS5DSH2,"Anderson, S."
AXS5DSH2,"Merrill, J. W. L."
AXS5DSH2,"Port, R."
J82GZV8C,"Ando, Rie Kubota"
J82GZV8C,"Zhang, Tong"
56KD6GJI,"Andrieu, Christophe"
56KD6GJI,"Freitas, Nando de"
56KD6GJI,"Doucet, Arnaud"
56KD6GJI,"Jordan, Michael I."
FF2AN4AJ,"Andrieu, C."
FF2AN4AJ,"Freitas, N. de"
FF2AN4AJ,"Doucet, A."
FF2AN4AJ,"Jordan, M."
SJI93DW9,"Angéniol, B."
SJI93DW9,"Vaubois, G. de La Croix"
SJI93DW9,"Texier, J.-Y. Le"
PI5V4RCG,"Angluin, D."
PI5V4RCG,"Smith, C."
GX8VDUJ5,"Arbib, Michael A."
678J7ZTI,"Arbib, Michael A."
NK7PZ9FZ,Advanced Research Projects Agency
BR9D9XNX,"Asuncion, A."
BR9D9XNX,"Newman, D. J."
9NISV9BK,"Ash, J."
9NISV9BK,"Berg, M."
9NISV9BK,"Coiera, E."
85M7DBB5,"Ash, J."
85M7DBB5,"Sittig, D."
85M7DBB5,"Dykstra, R."
85M7DBB5,"Guappone, K."
85M7DBB5,"Carpenter, J."
85M7DBB5,"Seshadri, V."
RWBWQIB7,"Atal, B. S."
2PCXBX78,"Athaide, C. R."
TKUBVAK6,"Urtasun, Raquel"
CEEI29XN,"Atherton, D. P."
A6K66GQ3,"Atkeson, C. G."
A6K66GQ3,"Moore, A. W."
A6K66GQ3,"Schaal, S."
XGS48MWT,"Aubert, X."
XGS48MWT,"Dugast, C."
XGS48MWT,"Ney, H."
XGS48MWT,"Steinbiss, V."
5GEPNRGH,"Auer, Peter"
5GEPNRGH,"Herbster, Mark"
5GEPNRGH,"Warmuth, Manfred K."
ETGDP3SE,"Auer, Peter"
CMQM7EN3,"Baxter, Jonathan"
FXSJ6QFF,"Bach, Francis"
4956B96N,"Bach, F.R."
4956B96N,"Lanckriet, G.R.G."
4956B96N,"Jordan, M.I."
C4STUDUN,"Bach, Francis"
C4STUDUN,"Jenatton, Rodolphe"
C4STUDUN,"Mairal, Julien"
C4STUDUN,"Obozinski, Guillaume"
8A8NVTVZ,"Bach, Francis"
8A8NVTVZ,"Jenatton, Rodolphe"
8A8NVTVZ,"Mairal, Julien"
8A8NVTVZ,"Obozinski, Guillaume"
ZAAMMN99,"Bachmann, C. M."
ZAAMMN99,"Cooper, L. N."
ZAAMMN99,"Dembo, A."
ZAAMMN99,"Zeitouni, O."
NTM6I98W,"Bachrach, J."
GN76KRV3,"Back, A. D."
GN76KRV3,"Tsoi, A. C."
7D8XIQDE,"Bahadur, R. R."
2E2D5Q59,"Bahl, L. R."
2E2D5Q59,"Baker, J. K."
2E2D5Q59,"Mercer, R. L."
ASN36EAH,"Bahl, L. R."
ASN36EAH,"Jelinek, F."
ASN36EAH,"Mercer, R. L."
AC37KGNS,"Bahl, Lalit"
AC37KGNS,"Brown, Peter"
AC37KGNS,"deSouza, Peter"
AC37KGNS,"Mercer, Robert"
VJ6PSDD4,"Bahl, L. R."
VJ6PSDD4,"Brown, P."
VJ6PSDD4,"Souza, P. V. de"
VJ6PSDD4,"Mercer, R. L."
FIUUTTI7,"Bahl, L. R."
FIUUTTI7,"Brown, P."
FIUUTTI7,"Souza, P. V. de"
FIUUTTI7,"Mercer, R. L."
6FK3IRIZ,"Bailey, Robert A."
6FK3IRIZ,"Simon, Leroy"
X2XFV2J3,"Baker, J. K."
26AHS4Z6,"Baker, C. T. H."
J8V5X4DR,"Baker, D."
J8V5X4DR,"McCallum, A."
DJCJQPTK,"Baker, Collin F."
DJCJQPTK,"Fillmore, Charles J."
DJCJQPTK,"Lowe, John B."
B777F6NU,"Bakis, R."
ANNGIZUE,"Bakker, Bart"
ANNGIZUE,"Heskes, Tom"
4M8U6EVX,"Baldi, Pierre"
4M8U6EVX,"Brunak, Soren"
AN8HFGEV,"Baldi, Pierre"
AN8HFGEV,"Hornik, Kurt"
XKT64GIN,"Baldi, P."
XKT64GIN,"Chauvin, Y."
XKT64GIN,"Hunkapiller, T."
XKT64GIN,"McClure, M."
A4IG34SI,"Ballard, D. H."
8BEWF59K,"Baluja, S."
R8CBXDV2,"Bar-Shalom, Y."
NJGNGXKV,"Bar-Shalom, Y."
NJGNGXKV,"Li, X.-R."
BK5B3CTC,"Barber, D."
BK5B3CTC,"Williams, C. K. I."
D3ZJF46N,"Barber, D."
VG36C6KU,"Bareiss, E. R."
VG36C6KU,"Porter, B."
ZDDUSZDZ,"Barhen, J."
ZDDUSZDZ,"Gulati, S."
ZDDUSZDZ,"Zak, M."
68GNI484,"Nykamp, D. Q."
68GNI484,"Ringach, D. L."
B45VNI6I,"Wilcoxon, Frank"
FX57WKRB,"Wilson, Hugh R."
FX57WKRB,"Cowan, Jack D."
WQVHTCDE,"Barlow, H. B."
UZIV5KFR,"Barlow, H."
WVXD6GS7,"Barron, A. R."
WVXD6GS7,"Barron, R. L."
SP789S5R,"Barron, A. R."
W9ITZBGF,"Barron, Andrew E."
J98FG7ZW,"Barron, Andrew E."
IJXN6WVM,"Kurkova, V."
IJXN6WVM,"Sanguineti, M."
CQUKH254,"Lin, Jie"
CQUKH254,"Bartal, Yair"
CQUKH254,"Uhrig, Robert E."
JQSZXU44,"Bartlett, E. B."
JQSZXU44,"Uhrig, R. E."
92R7X57D,"Bartlett, M. S."
8BGNPHGA,"Bartlett, P. L."
8BGNPHGA,"Downs, T."
EGZHIH87,"Barto, A. G."
EGZHIH87,"Bradtke, S."
EGZHIH87,"Singh, S. P."
KVV46QIU,"Barto, A. G."
KVV46QIU,"Sutton, R. S."
KVV46QIU,"Brouwer, P. S."
X8TQVDRK,"Barto, A. G."
X8TQVDRK,"Sutton, R. S."
X8TQVDRK,"Anderson, C. W."
3IJKVMHJ,"Barto, A. G."
3IJKVMHJ,"Anandan, P."
NPSFHTX2,"Barto, A. G."
NPSFHTX2,"Jordan, M. I."
MKPU5BRQ,"Barto, A. G."
MKPU5BRQ,"Sutton, R. S."
MKPU5BRQ,"Watkins, C. J. C. H."
WAEPMX7N,"Barto, A. G."
48KBIH6U,"Barto, A. G."
48KBIH6U,"Bradtke, S."
48KBIH6U,"Singh, S. P."
J2MTQQ4K,"Basilevsky, A."
2488TKFX,"Bassiouni, M. A."
2488TKFX,"Mukherjee, A."
EZHB3KQN,"Basu, A."
EZHB3KQN,"Bartlett, E. B."
JTNJ378P,"Bateman, Chris"
JTNJ378P,"Boon, Richard"
9EHKGJID,"Battiti, R."
XWTIUMGM,"Battiti, E."
XWTIUMGM,"Masulli, F."
IHAFCVWP,"Battiti, T."
42MSSUTP,"Battiti, R."
M6VWP28F,"Baudat, G."
M6VWP28F,"Anouar, F."
TQRUS6X8,"Baum, L. E."
TQRUS6X8,"Petrie, T."
2UR7H4XJ,"Baum, L. E."
2UR7H4XJ,"Eagon, J."
SCTM4EHP,"Baum, L. E."
SCTM4EHP,"Petrie, T."
SCTM4EHP,"Soules, G."
SCTM4EHP,"Weiss, N."
QMTWDJRJ,"Baum, L. E."
P5PCKUJX,"Baum, E. B."
4E3KD9FV,"Baum, E. B."
4E3KD9FV,"Wilczek, F."
ZKNAQKS3,"Baum, E. B."
ZKNAQKS3,"Haussler, D."
AXB6KIX8,"Baum, E. B."
DT3S66IF,"Baxter, Jonathan"
ADJFE3NR,"Baxter, Jonathan"
8EV7C4X5,"Baxter, Jonathan"
36AF73DC,"Baxter, Jonathan"
7Z6KAXIG,"Baxter, Jonathan"
QSGMMCCW,"Baxter, Jonathan"
BWXMW7SZ,"Baxter, Jonathan"
R377CWHT,"Becker, S."
R377CWHT,"LeCun, Y."
EHZKD7GK,"Belkin, Mikhail"
EHZKD7GK,"Matveeva, Irina"
EHZKD7GK,"Niyogi, Partha"
BJ9QFHTT,"Belkin, Mikhail"
BJ9QFHTT,"Niyogi, Partha"
9AA692PD,"Belkin, Mikhail"
9AA692PD,"Niyogi, Partha"
WXBZS5A7,"Belkin, Mkhail"
WXBZS5A7,"Niyogi, Partha"
P7SK2JPJ,"Belkin, Mikhail"
P7SK2JPJ,"Niyogi, Partha"
2BWJW54I,"Belkin, Mikhail"
2BWJW54I,"Niyogi, Partha"
SFHT5C8P,"Belkin, Mikhail"
SFHT5C8P,"Niyogi, Partha"
SFHT5C8P,"Sindhwani, Vikas"
MQ48FS8U,"Bell, Anthony J."
MQ48FS8U,"Sejnowski, Terrence J."
FT7EZRXT,"Bellegarda, J. R."
FT7EZRXT,"Nahamoo, D."
JF3AAV2E,"Bellegarda, J. R."
RTJZ8NFQ,"Bellman, R. E."
34J3BF5R,"Bellman, R."
2BW8TFUQ,"Bellman, R."
MKP9KJAV,"Ben-David, Shai"
MKP9KJAV,"Schuller, Reba"
J7GMXHUU,"Bengio, Yoshua"
J7GMXHUU,"Ducharme, Réjean"
J7GMXHUU,"Vincent, Pascal"
KPTIGUSB,"Bengio, Yoshua"
KPTIGUSB,"Ducharme, Réjean"
KPTIGUSB,"Vincent, Pascal"
DGUJS66U,"Bengio, Y."
DGUJS66U,"Ducharme, R."
DGUJS66U,"Vincent, P."
T95UC7Q2,"Bengio, Yoshua"
T95UC7Q2,"Delalleau, Olivier"
T95UC7Q2,"Roux, Nicolas Le"
I2C8IMKR,"Bengio, Yoshua"
I2C8IMKR,"Roux, Nicolas Le"
I2C8IMKR,"Vincent, Pascal"
I2C8IMKR,"Delalleau, Olivier"
I2C8IMKR,"Marcotte, Patrice"
GFD4B9D3,"Bengio, Yoshua"
GFD4B9D3,"Roux, Nicolas Le"
GFD4B9D3,"Vincent, Pascal"
GFD4B9D3,"Delalleau, Olivier"
GFD4B9D3,"Marcotte, Patrice"
MGT72VQK,"Bengio, Yoshua"
MGT72VQK,"Delalleau, Olivier"
MGT72VQK,"Roux, Nicolas Le"
MGT72VQK,"Paiement, Jean-Francois"
MGT72VQK,"Vincent, Pascal"
MGT72VQK,"Ouimet, Marie"
W4SDICQ6,"Bengio, Yoshua"
W4SDICQ6,"Bengio, Samy"
9DZBQ7ZI,"Bengio, Yoshua"
9DZBQ7ZI,"Louradour, Jerome"
9DZBQ7ZI,"Collobert, Ronan"
9DZBQ7ZI,"Weston, Jason"
XV9XSGXG,"Li, Shoushan"
XV9XSGXG,"Zong, Chengqing"
ZKEUFMH8,"Pan, Sinno Jialin"
ZKEUFMH8,"Ni, Xiaochuan"
ZKEUFMH8,"Sun, Jian-Tao"
ZKEUFMH8,"Yang, Qiang"
ZKEUFMH8,"Chen, Zheng"
KB6Q3JXA,"Sindhwani, Vikas"
KB6Q3JXA,"Keerthi, S. Sathiya"
BEID7I5E,"Bengio, S."
BEID7I5E,"Bengio, Y."
DQMDZUEM,"Bengio, S."
DQMDZUEM,"Bengio, Y."
4QEM5NRD,"Bengio, Yoshua"
4QEM5NRD,"Chapados, Nicolas"
MZJ8RVEU,"Bergstra, James"
MZJ8RVEU,"Bengio, Yoshua"
MZJ8RVEU,"Louradour, Jerome"
WWG4RXFM,"Rose, Geordie"
WWG4RXFM,"Macready, William"
KFWICPP2,"Bergstra, James"
KFWICPP2,"Bengio, Yoshua"
KFWICPP2,"Louradour, Jerome"
6MDGEXA3,"Bengio, Y."
6MDGEXA3,"Frasconi, P."
